Week,Date,Year,Month,Month_Name,Quarter,Week_of_Year,Seasonality_Index,Spend_PaidSearch,Spend_PaidSocial,Spend_Email,Spend_Influencer,Total_Marketing_Spend,SEO_Organic_Index,Revenue,Orders,Avg_Order_Value,New_Visitors,Conversion_Rate_Pct
15,2023-04-10,2023,4,April,2,15,1.1,9510.03,7035.69,884.9,0.0,17430.63,0.7417,179617.63,2492,72.08,20464,12.177
16,2023-04-17,2023,4,April,2,16,1.1,9975.08,6801.16,700.98,34.81,17512.04,0.7257,176959.04,2461,71.91,21068,11.681
17,2023-04-24,2023,4,April,2,17,1.0,9594.87,6474.62,762.25,0.0,16831.73,0.7547,172706.29,2366,73.0,23139,10.225
18,2023-05-01,2023,5,May,2,18,1.0,10125.7,5454.37,887.12,6610.21,23077.39,0.783,189433.23,2657,71.3,22456,11.832
19,2023-05-08,2023,5,May,2,19,1.0,9636.79,6841.68,805.14,5021.01,22304.62,0.7213,189906.52,2747,69.13,24928,11.02
20,2023-05-15,2023,5,May,2,20,1.0,9435.08,5158.89,713.78,6305.83,21613.58,0.7614,189136.09,2730,69.28,22245,12.272
21,2023-05-22,2023,5,May,2,21,1.0,10586.26,6352.11,742.78,46.64,17727.79,0.7249,189364.55,2636,71.84,22359,11.789
22,2023-05-29,2023,5,May,2,22,1.0,9909.69,7314.27,854.37,221.3,18299.63,0.7107,187180.88,2701,69.3,25349,10.655
23,2023-06-05,2023,6,June,2,23,1.0,10027.01,5405.68,741.57,128.65,16302.91,0.7242,184159.65,2690,68.46,22021,12.216
24,2023-06-12,2023,6,June,2,24,1.2,9830.1,6360.22,877.32,0.0,17067.64,0.6889,193147.13,2662,72.56,25039,10.631
25,2023-06-19,2023,6,June,2,25,1.2,10182.25,6759.79,863.65,0.0,17805.68,0.6954,189748.21,2682,70.75,23746,11.295
26,2023-06-26,2023,6,June,2,26,1.2,10444.37,6397.91,807.87,0.0,17650.16,0.6681,185114.31,2327,79.55,19125,12.167
27,2023-07-03,2023,7,July,3,27,1.0,9539.6,5069.6,971.52,0.0,15580.72,0.7549,178937.14,3045,58.76,26845,11.343
28,2023-07-10,2023,7,July,3,28,1.0,10150.28,6041.14,850.71,0.0,17042.13,0.6891,173892.38,2245,77.46,20174,11.128
29,2023-07-17,2023,7,July,3,29,1.0,9759.74,5362.62,637.99,48.41,15808.76,0.6595,167636.34,2142,78.26,18872,11.35
30,2023-07-24,2023,7,July,3,30,1.0,9883.32,6284.16,814.92,0.0,16982.39,0.6799,170783.38,2770,61.65,21370,12.962
31,2023-07-31,2023,7,July,3,31,1.0,9759.32,5448.35,747.06,4358.1,20312.82,0.6638,182729.85,2599,70.31,21146,12.291
32,2023-08-07,2023,8,August,3,32,1.15,11040.91,7454.96,913.19,6812.0,26221.07,0.6551,199161.5,2839,70.15,23780,11.939
33,2023-08-14,2023,8,August,3,33,1.15,10294.6,6055.05,781.6,4556.81,21688.05,0.6756,198658.4,3058,64.96,25879,11.817
34,2023-08-21,2023,8,August,3,34,1.15,9876.92,6331.76,835.82,60.26,17104.76,0.6764,198784.52,2918,68.12,25708,11.351
35,2023-08-28,2023,8,August,3,35,1.15,10629.02,7013.11,885.4,103.52,18631.05,0.6355,194972.0,2934,66.45,25199,11.643
36,2023-09-04,2023,9,September,3,36,1.15,9811.66,5786.48,914.26,0.0,16512.4,0.6332,190200.76,2355,80.76,18445,12.768
37,2023-09-11,2023,9,September,3,37,1.15,10383.55,6661.48,748.98,33.61,17827.61,0.6427,189365.99,2469,76.7,21455,11.508
38,2023-09-18,2023,9,September,3,38,1.0,9216.13,6784.29,773.24,1.89,16775.55,0.5837,174169.91,2222,78.38,19565,11.357
39,2023-09-25,2023,9,September,3,39,1.0,9468.73,5035.51,762.0,14.65,15280.89,0.6105,175505.91,2321,75.62,20378,11.39
40,2023-10-02,2023,10,October,4,40,1.0,10078.74,6110.78,747.73,0.0,16937.26,0.7017,176995.44,2667,66.36,24110,11.062
41,2023-10-09,2023,10,October,4,41,1.0,10295.39,6155.93,941.24,3.68,17396.23,0.7163,174352.46,2513,69.38,22408,11.215
42,2023-10-16,2023,10,October,4,42,1.0,10068.55,6469.09,832.4,74.7,17444.74,0.667,178841.99,2402,74.46,20968,11.456
43,2023-10-23,2023,10,October,4,43,1.0,9953.74,5257.83,699.13,217.67,16128.37,0.7008,177492.88,2693,65.91,22796,11.813
44,2023-10-30,2023,10,October,4,44,1.0,9879.56,5207.73,873.43,3187.24,19147.95,0.703,186716.33,2470,75.59,18943,13.039
45,2023-11-06,2023,11,November,4,45,1.55,10508.59,8238.16,1134.77,6944.51,26826.03,0.7975,221855.11,3133,70.81,27303,11.475
46,2023-11-13,2023,11,November,4,46,1.55,10812.06,8103.19,1047.6,3365.15,23328.0,0.7513,225335.91,3213,70.13,27644,11.623
47,2023-11-20,2023,11,November,4,47,2.1,12015.74,10000.3,1008.45,130.85,23155.34,0.7274,243448.78,3222,75.56,27824,11.58
48,2023-11-27,2023,11,November,4,48,2.1,12622.85,10057.87,1091.26,27.5,23799.48,0.7169,243140.08,3275,74.24,25746,12.72
49,2023-12-04,2023,12,December,4,49,1.85,11837.45,8566.99,1156.35,328.47,21889.26,0.7123,229803.89,3273,70.21,26051,12.564
50,2023-12-11,2023,12,December,4,50,1.85,10994.78,9114.35,998.39,0.0,21107.52,0.7822,225765.04,2901,77.82,26186,11.078
51,2023-12-18,2023,12,December,4,51,2.3,12729.63,10725.84,1225.51,0.0,24680.98,0.7693,248396.92,3729,66.61,31622,11.792
52,2023-12-25,2023,12,December,4,52,2.3,12445.97,10121.39,1251.97,0.0,23819.33,0.7653,244293.46,3253,75.1,28758,11.312
53,2024-01-01,2024,1,January,1,1,0.75,9229.23,6244.46,650.85,0.0,16124.54,0.8047,172148.8,2296,74.98,19548,11.745
54,2024-01-08,2024,1,January,1,2,0.75,9744.67,5409.3,720.24,0.0,15874.21,0.8075,166766.95,2367,70.45,20154,11.745
55,2024-01-15,2024,1,January,1,3,0.75,9912.4,4410.22,465.7,0.0,14788.32,0.9061,163324.6,2218,73.64,19893,11.15
56,2024-01-22,2024,1,January,1,4,0.75,9872.51,5518.93,643.05,22.56,16057.05,0.8969,164716.82,2505,65.76,20646,12.133
57,2024-01-29,2024,1,January,1,5,0.75,9164.31,4540.19,704.79,4328.52,18737.82,0.8846,179978.03,2348,76.65,20070,11.699
58,2024-02-05,2024,2,February,1,6,1.15,10176.32,6997.25,745.18,7081.67,25000.42,0.9427,201569.59,2835,71.1,23442,12.094
59,2024-02-12,2024,2,February,1,7,1.15,10432.51,7220.16,975.59,6944.99,25573.25,0.9132,206790.43,2980,69.39,24682,12.074
60,2024-02-19,2024,2,February,1,8,1.0,10390.22,5507.59,685.59,0.0,16583.4,0.8965,193340.55,2502,77.27,20880,11.983
61,2024-02-26,2024,2,February,1,9,1.0,9808.33,6578.03,764.8,0.0,17151.15,0.9782,192604.04,2812,68.49,24214,11.613
62,2024-03-04,2024,3,March,1,10,1.0,9925.74,6247.67,810.46,73.79,17057.65,0.9577,191726.2,2951,64.97,24377,12.106
63,2024-03-11,2024,3,March,1,11,1.0,9557.47,6493.24,915.3,0.0,16966.0,0.918,190318.34,2963,64.23,27045,10.956
64,2024-03-18,2024,3,March,1,12,1.1,9721.52,7488.08,715.13,274.72,18199.44,0.9496,190275.65,2535,75.06,20413,12.419
65,2024-03-25,2024,3,March,1,13,1.1,10525.01,6202.77,923.05,176.92,17827.75,0.9337,194087.64,2958,65.61,24866,11.896
66,2024-04-01,2024,4,April,2,14,1.1,10742.5,5897.76,830.82,0.0,17471.07,0.9218,192285.05,2380,80.79,19706,12.078
67,2024-04-08,2024,4,April,2,15,1.1,10171.2,5816.29,751.48,0.0,16738.97,0.9929,187996.98,3052,61.6,28150,10.842
68,2024-04-15,2024,4,April,2,16,1.1,10601.41,5860.51,866.97,203.08,17531.98,1.0228,193322.09,2402,80.48,20653,11.63
69,2024-04-22,2024,4,April,2,17,1.0,10144.65,5953.74,815.92,0.0,16914.32,0.9226,181248.5,2480,73.08,22359,11.092
70,2024-04-29,2024,4,April,2,18,1.0,9741.95,6204.69,751.98,5479.42,22178.05,0.9792,193626.26,2707,71.53,20998,12.892
71,2024-05-06,2024,5,May,2,19,1.0,10144.56,6166.01,805.58,5527.35,22643.51,0.9393,195130.26,2816,69.29,24312,11.583
72,2024-05-13,2024,5,May,2,20,1.0,10615.21,6496.31,769.17,4793.78,22674.48,0.9397,202258.93,2733,74.01,24446,11.18
73,2024-05-20,2024,5,May,2,21,1.0,9985.67,6007.8,809.08,0.79,16803.34,0.931,197514.72,2750,71.82,23488,11.708
74,2024-05-27,2024,5,May,2,22,1.0,10625.86,6872.12,852.97,7.05,18358.0,0.9166,195029.65,2515,77.55,22717,11.071
75,2024-06-03,2024,6,June,2,23,1.0,8952.1,5841.21,926.88,0.0,15720.19,0.9369,191669.84,2641,72.57,21765,12.134
76,2024-06-10,2024,6,June,2,24,1.2,10728.76,8332.1,760.97,93.43,19915.26,0.903,197368.96,2712,72.78,24963,10.864
77,2024-06-17,2024,6,June,2,25,1.2,10434.82,7075.4,1030.64,0.0,18540.86,0.9282,203880.93,2905,70.18,28031,10.364
78,2024-06-24,2024,6,June,2,26,1.2,10280.4,6185.71,703.83,0.0,17169.94,0.9105,194315.35,2709,71.73,22535,12.021
79,2024-07-01,2024,7,July,3,27,1.0,10036.7,5357.46,787.86,18.04,16200.07,0.8968,183024.28,2488,73.56,20593,12.082
80,2024-07-08,2024,7,July,3,28,1.0,9204.97,6289.48,847.07,77.17,16418.69,0.8688,183840.74,2897,63.46,26729,10.838
81,2024-07-15,2024,7,July,3,29,1.0,9912.13,5865.92,822.48,106.74,16707.28,0.8712,183971.33,2819,65.26,26187,10.765
82,2024-07-22,2024,7,July,3,30,1.0,10142.85,6428.4,750.18,0.0,17321.43,0.9042,182634.2,2412,75.72,19871,12.138
83,2024-07-29,2024,7,July,3,31,1.0,10591.16,6283.94,783.35,4172.84,21831.29,0.8902,194874.67,2674,72.88,22167,12.063
84,2024-08-05,2024,8,August,3,32,1.15,10092.69,6481.3,805.56,4506.31,21885.86,0.8404,205724.21,2894,71.09,24191,11.963
85,2024-08-12,2024,8,August,3,33,1.15,9976.6,6016.92,797.85,5739.92,22531.3,0.8681,209614.89,2907,72.11,22755,12.775
86,2024-08-19,2024,8,August,3,34,1.15,10099.3,5616.09,912.97,0.0,16628.36,0.8842,206637.87,2802,73.75,22529,12.437
87,2024-08-26,2024,8,August,3,35,1.15,10666.16,6257.09,873.56,232.67,18029.49,0.8094,204803.55,2955,69.31,23633,12.504
88,2024-09-02,2024,9,September,3,36,1.15,10431.5,7038.84,789.57,17.35,18277.26,0.8748,199224.4,2925,68.11,23739,12.321
89,2024-09-09,2024,9,September,3,37,1.15,10088.1,6653.46,916.97,176.89,17835.41,0.839,196925.15,2698,72.99,22886,11.789
90,2024-09-16,2024,9,September,3,38,1.0,10205.31,5252.56,824.58,10.13,16292.58,0.8778,188131.16,2803,67.12,24153,11.605
91,2024-09-23,2024,9,September,3,39,1.0,10038.83,6103.91,865.03,309.11,17316.88,0.8411,188613.98,2547,74.05,23624,10.781
92,2024-09-30,2024,9,September,3,40,1.0,10387.46,6231.19,850.37,263.3,17732.32,0.8146,190566.33,3001,63.5,24010,12.499
93,2024-10-07,2024,10,October,4,41,1.0,9719.18,5469.69,733.68,0.0,15922.54,0.8261,181391.21,2351,77.15,21140,11.121
94,2024-10-14,2024,10,October,4,42,1.0,9868.94,6092.24,755.19,145.74,16862.09,0.8839,188075.9,2529,74.37,21225,11.915
95,2024-10-21,2024,10,October,4,43,1.0,9843.16,6034.93,859.78,96.81,16834.67,0.8992,185787.43,2535,73.29,21484,11.799
96,2024-10-28,2024,10,October,4,44,1.0,9414.59,5314.22,848.83,6214.79,21792.43,0.8746,196935.54,2560,76.93,22623,11.316
97,2024-11-04,2024,11,November,4,45,1.55,11218.45,8139.67,963.33,6166.32,26487.76,0.9323,228474.01,2844,80.34,22577,12.597
98,2024-11-11,2024,11,November,4,46,1.55,11204.42,8261.47,974.39,6261.38,26701.66,0.8758,229593.14,2978,77.1,25882,11.506
99,2024-11-18,2024,11,November,4,47,2.1,12202.05,10499.83,1232.21,158.76,24092.85,0.9372,262099.44,4173,62.81,35817,11.651
100,2024-11-25,2024,11,November,4,48,2.1,12106.17,10482.28,1082.67,0.0,23671.12,0.9172,258348.03,3938,65.6,34442,11.434
101,2024-12-02,2024,12,December,4,49,1.85,11133.85,8148.4,1098.77,0.0,20381.02,0.949,240337.99,3489,68.88,30160,11.568
102,2024-12-09,2024,12,December,4,50,1.85,11531.74,8412.3,1038.82,0.0,20982.87,0.9855,237572.21,3293,72.14,32033,10.28
103,2024-12-16,2024,12,December,4,51,2.3,12462.91,10859.02,1172.59,0.0,24494.52,0.9741,260814.04,3496,74.6,28601,12.223
104,2024-12-23,2024,12,December,4,52,2.3,12279.09,10858.27,1277.9,107.63,24522.89,1.0045,265381.54,3881,68.38,31958,12.144
