Week,Date,Year,Month,Month_Name,Quarter,Week_of_Year,Seasonality_Index,Spend_PaidSearch,Spend_PaidSocial,Spend_Email,Spend_Influencer,Total_Marketing_Spend,SEO_Organic_Index,Revenue,Orders,Avg_Order_Value,New_Visitors,Conversion_Rate_Pct,Adstock_PaidSearch,Adstock_PaidSocial,Adstock_Email,Adstock_Influencer,Trend_Index,Sin_52,Cos_52,Sin_26,Cos_26,Is_Q4,Is_BlackFriday,Is_Christmas,Is_January,Is_Summer
29,2023-07-17,2023,7,July,3,29,1.0,9759.74,5362.62,637.99,48.41,15808.76,0.6595,167636.34,2142,78.26,18872,11.35,15161.517857137122,10176.086965613096,855.179110274417,106.73398293953613,0.27884615384615385,-0.3546048870425356,-0.9350162426854148,0.6631226582407952,0.7485107481711011,0,0,0,0,1
30,2023-07-24,2023,7,July,3,30,1.0,9883.32,6284.16,814.92,0.0,16982.39,0.6799,170783.38,2770,61.65,21370,12.962,15189.851249997992,10863.399134525895,985.9558220548834,58.70369061674488,0.28846153846153844,-0.46472317204376806,-0.8854560256532101,0.8229838658936558,0.5680647467311567,0,0,0,0,1
31,2023-07-31,2023,7,July,3,31,1.0,9759.32,5448.35,747.06,4358.1,20312.82,0.6638,182729.85,2599,70.31,21146,12.291,15075.767937499297,10336.879610536653,944.2511644109766,4390.38702983921,0.2980769230769231,-0.5680647467311556,-0.8229838658936566,0.9350162426854147,0.354604887042536,0,0,0,0,1
32,2023-08-07,2023,8,August,3,32,1.15,11040.91,7454.96,913.19,6812.0,26221.07,0.6551,199161.5,2839,70.15,23780,11.939,16317.428778124753,12106.555824741494,1102.0402328821954,9226.712866411566,0.3076923076923077,-0.663122658240795,-0.7485107481711013,0.9927088740980539,0.12053668025532369,0,0,0,0,1
33,2023-08-14,2023,8,August,3,33,1.15,10294.6,6055.05,781.6,4556.81,21688.05,0.6756,198658.4,3058,64.96,25879,11.817,16005.700072343665,11503.000121133671,1002.0080465764391,9631.502076526362,0.3173076923076923,-0.7485107481711011,-0.6631226582407952,0.992708874098054,-0.12053668025532309,0,0,0,0,1
34,2023-08-21,2023,8,August,3,34,1.15,9876.92,6331.76,835.82,60.26,17104.76,0.6764,198784.52,2918,68.12,25708,11.351,15478.915025320282,11508.110054510153,1036.2216093152879,5357.5861420895,0.3269230769230769,-0.8229838658936564,-0.5680647467311559,0.9350162426854148,-0.35460488704253545,0,0,0,0,1
35,2023-08-28,2023,8,August,3,35,1.15,10629.02,7013.11,885.4,103.52,18631.05,0.6355,194972.0,2934,66.45,25199,11.643,16046.640258862099,12191.759524529569,1092.6443218630575,3050.192378149225,0.33653846153846156,-0.8854560256532096,-0.4647231720437691,0.8229838658936571,-0.5680647467311547,0,0,0,0,1
36,2023-09-04,2023,9,September,3,36,1.15,9811.66,5786.48,914.26,0.0,16512.4,0.6332,190200.76,2355,80.76,18445,12.768,15427.984090601734,11272.771786038305,1132.7888643726114,1677.6058079820739,0.34615384615384615,-0.9350162426854147,-0.3546048870425359,0.6631226582407956,-0.7485107481711006,0,0,0,0,0
37,2023-09-11,2023,9,September,3,37,1.15,10383.55,6661.48,748.98,33.61,17827.61,0.6427,189365.99,2469,76.7,21455,11.508,15783.344431710606,11734.227303717238,975.5377728745223,956.2931943901407,0.3557692307692308,-0.970941817426052,-0.23931566428755774,0.4647231720437685,-0.8854560256532099,0,0,0,0,0
38,2023-09-18,2023,9,September,3,38,1.0,9216.13,6784.29,773.24,1.89,16775.55,0.5837,174169.91,2222,78.38,19565,11.357,14740.300551098711,12064.692286672758,968.3475545749045,527.8512569145774,0.36538461538461536,-0.992708874098054,-0.12053668025532357,0.23931566428755877,-0.9709418174260518,0,0,0,0,0
39,2023-09-25,2023,9,September,3,39,1.0,9468.73,5035.51,762.0,14.65,15280.89,0.6105,175505.91,2321,75.62,20378,11.39,14627.835192884548,10464.621529002741,955.669510914981,304.9681913030176,0.375,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0,0,0,0,0
40,2023-10-02,2023,10,October,4,40,1.0,10078.74,6110.78,747.73,0.0,16937.26,0.7017,176995.44,2667,66.36,24110,11.062,15198.482317509592,10819.859688051234,938.8639021829962,167.7325052166597,0.38461538461538464,-0.992708874098054,0.1205366802553232,-0.23931566428755807,-0.9709418174260519,1,0,0,0,0
41,2023-10-09,2023,10,October,4,41,1.0,10295.39,6155.93,941.24,3.68,17396.23,0.7163,174352.46,2513,69.38,22408,11.215,15614.858811128357,11024.866859623056,1129.0127804365993,95.93287786916284,0.3942307692307692,-0.9709418174260521,0.23931566428755738,-0.46472317204376784,-0.8854560256532102,1,0,0,0,0
42,2023-10-16,2023,10,October,4,42,1.0,10068.55,6469.09,832.4,74.7,17444.74,0.667,178841.99,2402,74.46,20968,11.456,15533.750583894924,11430.280086830375,1058.2025560873199,127.46308282803957,0.40384615384615385,-0.9350162426854148,0.35460488704253557,-0.6631226582407951,-0.7485107481711012,1,0,0,0,0
43,2023-10-23,2023,10,October,4,43,1.0,9953.74,5257.83,699.13,217.67,16128.37,0.7008,177492.88,2693,65.91,22796,11.813,15390.552704363223,10401.45603907367,910.770511217464,287.7746955554218,0.41346153846153844,-0.8854560256532101,0.464723172043768,-0.8229838658936557,-0.5680647467311568,1,0,0,0,0
44,2023-10-30,2023,10,October,4,44,1.0,9879.56,5207.73,873.43,3187.24,19147.95,0.703,186716.33,2470,75.59,18943,13.039,15266.253446527127,9888.38521758315,1055.5841022434927,3345.5160825554817,0.4230769230769231,-0.822983865893657,0.5680647467311548,-0.9350162426854141,-0.3546048870425378,1,0,0,0,0
45,2023-11-06,2023,11,November,4,45,1.55,10508.59,8238.16,1134.77,6944.51,26826.03,0.7975,221855.11,3133,70.81,27303,11.475,15851.778706284495,12687.933347912418,1345.8868204486985,8784.543845405515,0.4326923076923077,-0.7485107481711011,0.6631226582407952,-0.992708874098054,-0.12053668025532294,1,0,0,0,0
46,2023-11-13,2023,11,November,4,46,1.55,10812.06,8103.19,1047.6,3365.15,23328.0,0.7513,225335.91,3213,70.13,27644,11.623,16360.182547199573,13812.760006560587,1316.7773640897396,8196.649114973034,0.4423076923076923,-0.6631226582407955,0.7485107481711007,-0.9927088740980541,0.12053668025532208,1,0,0,0,0
47,2023-11-20,2023,11,November,4,47,2.1,12015.74,10000.3,1008.45,130.85,23155.34,0.7274,243448.78,3222,75.56,27824,11.58,17741.80389151985,16216.042002952265,1271.805472817948,4639.007013235169,0.4519230769230769,-0.5680647467311559,0.8229838658936564,-0.9350162426854149,0.35460488704253534,1,1,0,0,0
48,2023-11-27,2023,11,November,4,48,2.1,12622.85,10057.87,1091.26,27.5,23799.48,0.7169,243140.08,3275,74.24,25746,12.72,18832.481362031947,17355.08890132852,1345.6210945635896,2578.9538572793435,0.46153846153846156,-0.4647231720437684,0.88545602565321,-0.8229838658936562,0.5680647467311561,1,1,0,0,0
49,2023-12-04,2023,12,December,4,49,1.85,11837.45,8566.99,1156.35,328.47,21889.26,0.7123,229803.89,3273,70.21,26051,12.564,18428.81847671118,16376.780005597833,1425.4742189127178,1746.8946215036392,0.47115384615384615,-0.35460488704253595,0.9350162426854147,-0.6631226582407957,0.7485107481711006,1,0,0,0,0
50,2023-12-11,2023,12,December,4,50,1.85,10994.78,9114.35,998.39,0.0,21107.52,0.7822,225765.04,2901,77.82,26186,11.078,17444.866466848915,16483.901002519025,1283.4848437825435,960.7920418270016,0.4807692307692308,-0.2393156642875578,0.970941817426052,-0.4647231720437686,0.8854560256532099,1,0,0,0,0
51,2023-12-18,2023,12,December,4,51,2.3,12729.63,10725.84,1225.51,0.0,24680.98,0.7693,248396.92,3729,66.61,31622,11.792,18835.33326339712,18143.595451133562,1482.2069687565088,528.435623004851,0.49038461538461536,-0.12053668025532363,0.992708874098054,-0.2393156642875589,0.9709418174260518,1,0,1,0,0
52,2023-12-25,2023,12,December,4,52,2.3,12445.97,10121.39,1251.97,0.0,23819.33,0.7653,244293.46,3253,75.1,28758,11.312,19038.33664218899,18286.007953010103,1548.4113937513018,290.63959265266806,0.5,6.432490598706546e-16,1.0,1.2864981197413093e-15,1.0,1,0,1,0,0
53,2024-01-01,2024,1,January,1,1,0.75,9229.23,6244.46,650.85,0.0,16124.54,0.8047,172148.8,2296,74.98,19548,11.745,15892.647824766147,14473.163578854546,960.5322787502604,159.85177595896744,0.5096153846153846,0.12053668025532305,0.992708874098054,0.23931566428755774,0.970941817426052,0,0,0,1,0
54,2024-01-08,2024,1,January,1,2,0.75,9744.67,5409.3,720.24,0.0,15874.21,0.8075,166766.95,2367,70.45,20154,11.745,15307.096738668151,11922.223610484547,912.3464557500521,87.91847677743209,0.5192307692307693,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,0,0,0,1,0
55,2024-01-15,2024,1,January,1,3,0.75,9912.4,4410.22,465.7,0.0,14788.32,0.9061,163324.6,2218,73.64,19893,11.15,15269.883858533853,9775.220624718047,648.1692911500104,48.355162227587655,0.5288461538461539,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,0,0,0,1,0
56,2024-01-22,2024,1,January,1,4,0.75,9872.51,5518.93,643.05,22.56,16057.05,0.8969,164716.82,2505,65.76,20646,12.133,15216.969350486848,9917.779281123123,772.683858230002,49.15533922517321,0.5384615384615384,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,0,0,0,1,0
57,2024-01-29,2024,1,January,1,5,0.75,9164.31,4540.19,704.79,4328.52,18737.82,0.8846,179978.03,2348,76.65,20070,11.699,14490.249272670397,9003.190676505405,859.3267716460003,4355.555436573845,0.5480769230769231,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,0,0,0,1,0
58,2024-02-05,2024,2,February,1,6,1.15,10176.32,6997.25,745.18,7081.67,25000.42,0.9427,201569.59,2835,71.1,23442,12.094,15247.907245434639,11048.685804427432,917.0453543292,9477.225490115616,0.5576923076923077,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,0,0,0,0,0
59,2024-02-12,2024,2,February,1,7,1.15,10432.51,7220.16,975.59,6944.99,25573.25,0.9132,206790.43,2980,69.39,24682,12.074,15769.277535902123,12192.068611992345,1158.9990708658402,12157.464019563587,0.5673076923076923,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288,0,0,0,0,0
60,2024-02-19,2024,2,February,1,8,1.0,10390.22,5507.59,685.59,0.0,16583.4,0.8965,193340.55,2502,77.27,20880,11.983,15909.467137565742,10994.020875396556,917.3898141731681,6686.6052107599735,0.5769230769230769,0.8229838658936564,0.5680647467311559,0.9350162426854148,-0.35460488704253545,0,0,0,0,0
61,2024-02-26,2024,2,February,1,9,1.0,9808.33,6578.03,764.8,0.0,17151.15,0.9782,192604.04,2812,68.49,24214,11.613,15376.643498148009,11525.33939392845,948.2779628346336,3677.632865917986,0.5865384615384616,0.8854560256532099,0.4647231720437686,0.8229838658936565,-0.5680647467311557,0,0,0,0,0
62,2024-03-04,2024,3,March,1,10,1.0,9925.74,6247.67,810.46,73.79,17057.65,0.9577,191726.2,2951,64.97,24377,12.106,15307.565224351802,11434.072727267803,1000.1155925669268,2096.4880762548923,0.5961538461538461,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012,0,0,0,0,0
63,2024-03-11,2024,3,March,1,11,1.0,9557.47,6493.24,915.3,0.0,16966.0,0.918,190318.34,2963,64.23,27045,10.956,14915.117828523129,11638.572727270512,1115.3231185133855,1153.068441940191,0.6057692307692307,0.970941817426052,0.23931566428755804,0.46472317204376906,-0.8854560256532096,0,0,0,0,0
64,2024-03-18,2024,3,March,1,12,1.1,9721.52,7488.08,715.13,274.72,18199.44,0.9496,190275.65,2535,75.06,20413,12.419,14941.811239983095,12725.43772727173,938.1946237026771,908.9076430671051,0.6153846153846154,0.992708874098054,0.120536680255323,0.23931566428755768,-0.970941817426052,0,0,0,0,0
65,2024-03-25,2024,3,March,1,13,1.1,10525.01,6202.77,923.05,176.92,17827.75,0.9337,194087.64,2958,65.61,24866,11.896,15754.643933994084,11929.21697727228,1110.6889247405354,676.8192036869078,0.625,1.0,-1.6081226496766366e-16,-3.216245299353273e-16,-1.0,0,0,0,0,0
66,2024-04-01,2024,4,April,2,14,1.1,10742.5,5897.76,830.82,0.0,17471.07,0.9218,192285.05,2380,80.79,19706,12.078,16256.62537689793,11265.907639772526,1052.957784948107,372.25056202779933,0.6346153846153846,0.992708874098054,-0.12053668025532288,-0.23931566428755743,-0.9709418174260521,0,0,0,0,0
67,2024-04-08,2024,4,April,2,15,1.1,10171.2,5816.29,751.48,0.0,16738.97,0.9929,187996.98,3052,61.6,28150,10.842,15861.018881914275,10885.948437897638,962.0715569896214,204.73780911528965,0.6442307692307693,0.9709418174260521,-0.2393156642875575,-0.46472317204376806,-0.8854560256532101,0,0,0,0,0
68,2024-04-15,2024,4,April,2,16,1.1,10601.41,5860.51,866.97,203.08,17531.98,1.0228,193322.09,2402,80.48,20653,11.63,16152.766608669996,10759.186797053937,1059.3843113979242,315.68579501340935,0.6538461538461539,0.9350162426854148,-0.35460488704253545,-0.663122658240795,-0.7485107481711013,0,0,0,0,0
69,2024-04-22,2024,4,April,2,17,1.0,10144.65,5953.74,815.92,0.0,16914.32,0.9226,181248.5,2480,73.08,22359,11.092,15798.118313034498,10795.374058674272,1027.7968622795847,173.62718725737514,0.6634615384615384,0.8854560256532099,-0.4647231720437685,-0.8229838658936564,-0.5680647467311559,0,0,0,0,0
70,2024-04-29,2024,4,April,2,18,1.0,9741.95,6204.69,751.98,5479.42,22178.05,0.9792,193626.26,2707,71.53,20998,12.892,15271.291409562074,11062.608326403422,957.5393724559169,5574.914952991557,0.6730769230769231,0.8229838658936565,-0.5680647467311557,-0.9350162426854147,-0.3546048870425359,0,0,0,0,0
71,2024-05-06,2024,5,May,2,19,1.0,10144.56,6166.01,805.58,5527.35,22643.51,0.9393,195130.26,2816,69.29,24312,11.583,15489.511993346725,11144.18374688154,997.0878744911835,8593.553224145357,0.6826923076923077,0.7485107481711013,-0.663122658240795,-0.992708874098054,-0.12053668025532357,0,0,0,0,0
72,2024-05-13,2024,5,May,2,20,1.0,10615.21,6496.31,769.17,4793.78,22674.48,0.9397,202258.93,2733,74.01,24446,11.18,16036.539197671353,11511.192686096692,968.5875748982367,9520.234273279946,0.6923076923076923,0.6631226582407952,-0.7485107481711012,-0.992708874098054,0.1205366802553232,0,0,0,0,0
73,2024-05-20,2024,5,May,2,21,1.0,9985.67,6007.8,809.08,0.79,16803.34,0.931,197514.72,2750,71.82,23488,11.708,15598.458719184973,11187.83670874351,1002.7975149796474,5236.91885030397,0.7019230769230769,0.5680647467311558,-0.8229838658936564,-0.9350162426854148,0.35460488704253557,0,0,0,0,0
74,2024-05-27,2024,5,May,2,22,1.0,10625.86,6872.12,852.97,7.05,18358.0,0.9166,195029.65,2515,77.55,22717,11.071,16085.32055171474,11906.64651893458,1053.5295029959295,2887.355367667184,0.7115384615384616,0.46472317204376906,-0.8854560256532096,-0.822983865893657,0.5680647467311548,0,0,0,0,0
75,2024-06-03,2024,6,June,2,23,1.0,8952.1,5841.21,926.88,0.0,15720.19,0.9369,191669.84,2641,72.57,21765,12.134,14581.96219310016,11199.200933520562,1137.5859005991858,1588.0454522169514,0.7211538461538461,0.35460488704253584,-0.9350162426854147,-0.6631226582407955,0.7485107481711007,0,0,0,0,1
76,2024-06-10,2024,6,June,2,24,1.2,10728.76,8332.1,760.97,93.43,19915.26,0.903,197368.96,2712,72.78,24963,10.864,15832.446767585056,13371.740420084254,988.4871801198371,966.8549987193232,0.7307692307692307,0.23931566428755768,-0.970941817426052,-0.4647231720437684,0.88545602565321,0,0,0,0,1
77,2024-06-17,2024,6,June,2,25,1.2,10434.82,7075.4,1030.64,0.0,18540.86,0.9282,203880.93,2905,70.18,28031,10.364,15976.17636865477,13092.683189037914,1228.3374360239675,531.7702492956279,0.7403846153846154,0.12053668025532308,-0.992708874098054,-0.2393156642875578,0.970941817426052,0,0,0,0,1
78,2024-06-24,2024,6,June,2,26,1.2,10280.4,6185.71,703.83,0.0,17169.94,0.9105,194315.35,2709,71.73,22535,12.021,15872.061729029168,12077.417435067062,949.4974872047935,292.4736371125954,0.75,-3.216245299353273e-16,-1.0,6.432490598706546e-16,1.0,0,0,0,0,1
79,2024-07-01,2024,7,July,3,27,1.0,10036.7,5357.46,787.86,18.04,16200.07,0.8968,183024.28,2488,73.56,20593,12.082,15591.921605160209,10792.297845780178,977.7594974409587,178.90050041192745,0.7596153846153846,-0.12053668025532283,-0.992708874098054,0.23931566428755732,0.9709418174260521,0,0,0,0,1
80,2024-07-08,2024,7,July,3,28,1.0,9204.97,6289.48,847.07,77.17,16418.69,0.8688,183840.74,2897,63.46,26729,10.838,14662.142561806071,11146.01403060108,1042.6218994881917,175.56527522656012,0.7692307692307693,-0.23931566428755743,-0.9709418174260521,0.46472317204376795,0.8854560256532102,0,0,0,0,1
81,2024-07-15,2024,7,July,3,29,1.0,9912.13,5865.92,822.48,106.74,16707.28,0.8712,183971.33,2819,65.26,26187,10.765,15043.879896632123,10881.626313770486,1031.0043798976385,203.3009013746081,0.7788461538461539,-0.3546048870425356,-0.9350162426854148,0.6631226582407952,0.7485107481711011,0,0,0,0,1
82,2024-07-22,2024,7,July,3,30,1.0,10142.85,6428.4,750.18,0.0,17321.43,0.9042,182634.2,2412,75.72,19871,12.138,15408.207963821242,11325.131841196719,956.3808759795277,111.81549575603445,0.7884615384615384,-0.46472317204376806,-0.8854560256532101,0.8229838658936558,0.5680647467311567,0,0,0,0,1
83,2024-07-29,2024,7,July,3,31,1.0,10591.16,6283.94,783.35,4172.84,21831.29,0.8902,194874.67,2674,72.88,22167,12.063,15984.032787337434,11380.249328538524,974.6261751959056,4234.338522665819,0.7980769230769231,-0.5680647467311556,-0.8229838658936566,0.9350162426854147,0.354604887042536,0,0,0,0,1
84,2024-08-05,2024,8,August,3,32,1.15,10092.69,6481.3,805.56,4506.31,21885.86,0.8404,205724.21,2894,71.09,24191,11.963,15687.101475568103,11602.412197842335,1000.4852350391811,6835.196187466201,0.8076923076923077,-0.663122658240795,-0.7485107481711013,0.9927088740980539,0.12053668025532369,0,0,0,0,1
85,2024-08-12,2024,8,August,3,33,1.15,9976.6,6016.92,797.85,5739.92,22531.3,0.8681,209614.89,2907,72.11,22755,12.775,15467.085516448835,11238.005489029052,997.9470470078363,9499.277903106411,0.8173076923076923,-0.7485107481711011,-0.6631226582407952,0.992708874098054,-0.12053668025532309,0,0,0,0,1
